ID,cut,color,clarity,depth,table,price,x,y,z
1,,E,SI2,60.2,60.0,5340,6.46,6.5,3.9
2,Ideal,G,VVS2,62.7,57.0,1936,5.12,5.05,3.19
3,Premium,E,VVS1,62.0,59.0,1012,4.33,4.28,2.67
4,Ideal,G,VS2,61.7,57.0,720,4.41,4.38,2.71
5,,G,VS2,62.4,58.0,6301,6.41,6.48,4.02
6,Premium,D,VVS2,61.5,60.0,925,4.36,4.42,2.7
7,Very Good,D,SI1,60.2,61.0,571,4.39,4.42,2.65
8,Very Good,I,SI1,62.5,58.0,4450,6.5,6.58,4.09
9,Fair,I,VS1,64.4,59.0,1229,5.3,5.2,3.38
10,Ideal,G,VS1,62.3,57.0,6918,6.59,6.64,4.12
11,,F,SI2,60.1,59.0,1972,5.88,5.83,3.52
12,Premium,E,VS2,59.0,59.0,2734,5.89,5.78,3.44
13,,J,VS2,61.4,59.0,14358,8.24,8.22,5.05
14,Premium,D,VS1,60.9,60.0,3185,5.74,5.72,3.49
15,Ideal,G,VVS1,61.8,57.0,764,4.3,4.37,2.68
16,,I,SI1,60.3,62.0,394,4.33,4.39,2.63
17,Ideal,E,VVS1,,57.0,1827,4.86,,2.97
18,Ideal,J,VS1,62.0,53.0,645,4.66,4.69,2.9
19,Ideal,I,VS1,61.5,56.0,3677,6.22,6.17,3.81
20,Very Good,H,VS2,63.3,60.0,4513,6.3,6.24,3.97
21,Ideal,G,VVS2,61.9,56.0,908,4.64,4.63,2.87
22,Very Good,G,SI1,61.8,57.8,606,4.52,4.58,2.81
23,Fair,J,VS1,58.9,68.0,1983,5.9,5.79,3.44
24,Premium,E,VS2,63.1,60.0,6335,6.34,6.31,3.99
25,Good,D,SI1,63.8,56.0,755,4.36,4.32,2.77
26,Good,E,VS1,60.3,61.0,3018,5.7,5.75,3.45
27,,H,SI1,62.5,59.0,8283,7.09,7.16,4.45
28,Ideal,G,VS1,61.7,57.0,7294,6.47,6.53,4.01
29,Ideal,I,VVS2,62.6,57.0,874,4.79,4.83,3.01
30,Ideal,E,VS2,62.3,56.0,659,4.3,4.34,2.69
31,Ideal,G,VVS1,62.6,57.0,995,4.67,4.73,2.94
32,Ideal,G,VS1,61.4,54.0,1599,5.15,5.18,3.17
33,Very Good,F,VVS2,63.0,56.0,8266,6.34,6.39,4.01
34,Ideal,G,VVS1,61.6,54.0,779,4.36,4.37,2.69
35,Very Good,F,VVS2,62.8,59.0,17058,7.27,7.35,4.59
36,Ideal,E,VS2,60.8,57.0,11726,7.23,7.21,4.39
37,Good,I,SI1,60.6,61.0,6165,6.92,6.94,4.2
38,Premium,D,SI2,62.1,59.0,16472,8.29,8.35,5.17
39,,D,VS2,63.2,57.0,1948,5.28,5.32,3.35
40,Premium,G,VS1,63.0,57.0,2682,5.75,5.67,3.6
41,Ideal,D,SI2,61.6,57.0,10740,7.39,7.44,4.57
42,Very Good,E,VVS1,,59.0,477,3.96,,2.4
43,,J,VS1,62.2,59.0,10429,7.69,7.74,4.8
44,Good,H,SI1,62.7,60.0,4389,6.24,6.29,3.93
45,Premium,G,VS1,62.6,59.0,6951,6.57,6.53,4.1
46,Very Good,H,VVS1,62.0,57.0,1846,5.2,5.25,3.24
47,Fair,H,SI2,64.5,56.0,11655,7.92,7.86,5.09
48,Very Good,E,VVS2,62.2,59.0,470,3.94,4.0,2.47
49,Premium,G,VS2,62.8,62.0,630,4.24,4.2,2.65
50,Ideal,E,VS2,62.1,54.0,1607,5.13,5.15,3.19
51,Ideal,F,VS2,62.1,57.0,8416,6.77,6.76,4.2
52,,E,SI1,61.1,57.0,2629,5.72,5.7,3.49
53,Ideal,G,VVS2,,56.0,3832,5.9,,3.58
54,Premium,G,VS2,61.1,58.0,1381,5.18,5.19,3.17
55,Good,H,VS2,58.1,59.0,4685,6.36,6.34,3.69
56,Very Good,G,SI2,,58.0,4250,6.44,,3.94
57,Ideal,D,VS1,61.9,56.0,2657,5.44,5.45,3.37
58,Ideal,E,SI1,63.3,54.2,5727,6.3,6.37,4.01
59,Ideal,I,SI2,61.4,58.0,8021,7.41,7.41,4.55
60,Good,E,SI1,64.2,58.0,2000,5.48,5.54,3.54
61,Premium,G,VS2,60.4,59.0,18526,7.99,7.9,4.8
62,,F,SI1,63.5,57.0,944,4.7,4.69,2.98
63,Ideal,G,VS1,64.1,54.0,1803,5.38,5.29,3.42
64,Ideal,D,VS1,61.9,54.0,988,4.67,4.73,2.91
65,Premium,D,SI1,60.3,62.0,1720,5.3,5.25,3.18
66,Premium,D,VS2,62.8,58.0,1842,5.14,5.11,3.22
67,Ideal,I,VVS2,61.9,55.0,2514,5.79,5.84,3.6
68,Ideal,I,SI1,61.8,56.0,1075,5.15,5.17,3.19
69,Ideal,H,SI2,61.7,55.0,16642,8.16,8.12,5.02
70,Very Good,H,VS2,59.6,59.0,4979,6.48,6.55,3.88
71,Premium,G,VS2,61.0,62.0,629,4.33,4.29,2.63
72,Ideal,E,VS1,61.5,57.0,1857,5.28,5.23,3.23
73,Very Good,E,SI1,59.4,60.0,2973,6.06,6.1,3.61
74,Ideal,H,VVS1,61.6,57.0,3180,5.74,5.76,3.54
75,Ideal,I,SI2,62.7,55.0,3146,6.52,6.47,4.07
76,Premium,E,VS1,60.3,58.0,1053,4.81,4.81,2.9
77,Very Good,H,VS1,62.7,57.0,14136,7.48,7.57,4.72
78,Ideal,H,VS2,62.0,54.0,1377,5.23,5.26,3.25
79,Ideal,I,SI2,63.7,58.0,8061,7.3,7.27,4.64
80,Good,H,SI1,58.4,60.0,18027,8.31,8.36,4.87
81,Ideal,H,VVS2,62.0,55.0,645,4.37,4.41,2.72
82,Ideal,F,VVS1,61.9,56.0,842,4.37,4.39,2.71
83,Premium,G,SI1,60.2,60.0,668,4.6,4.57,2.76
84,Ideal,H,SI1,62.3,56.0,5501,6.71,6.7,4.18
85,,E,VVS2,61.0,60.0,788,4.26,4.3,2.61
86,Very Good,F,SI1,62.8,57.0,2251,5.61,5.67,3.54
87,Premium,I,SI1,61.6,58.0,14241,8.12,8.06,4.98
88,Very Good,G,VVS2,61.8,59.0,8689,6.75,6.77,4.18
89,Premium,G,VS2,61.1,58.0,1112,4.87,4.85,2.97
90,Ideal,G,VS2,60.1,55.0,1635,5.34,5.38,3.22
91,Ideal,D,SI2,61.1,56.0,2505,5.76,5.8,3.53
92,Very Good,D,VVS2,59.9,58.0,3056,5.63,5.69,3.39
93,Ideal,E,SI1,62.3,56.0,788,4.56,4.53,2.83
94,Premium,F,VVS2,62.4,58.0,1192,4.75,4.71,2.95
95,Ideal,I,SI1,61.2,58.0,8752,7.36,7.39,4.51
96,Premium,G,SI2,62.4,59.0,3297,6.5,6.48,4.05
97,,E,VS1,58.8,58.0,8346,6.89,6.86,4.04
98,Premium,I,VS1,62.0,57.0,9877,7.39,7.35,4.57
99,Ideal,D,VS2,61.0,57.0,928,4.62,4.63,2.82
100,Very Good,G,VS2,,62.0,491,4.29,,2.63
101,Ideal,E,SI1,62.2,55.0,1561,5.38,5.43,3.36
102,Premium,H,SI1,59.0,58.0,715,4.93,4.97,2.92
103,Ideal,F,VS1,62.0,55.0,2727,5.72,5.73,3.55
104,,G,SI1,59.8,57.0,1267,5.26,5.3,3.16
105,Premium,G,VVS2,61.7,60.0,730,4.37,4.38,2.7
106,Ideal,F,SI1,,56.0,5144,6.55,,4.02
107,Very Good,F,SI1,63.3,57.0,969,4.72,4.69,2.98
108,,F,VVS2,62.3,53.0,705,4.37,4.39,2.73
109,Ideal,D,VS2,61.8,54.0,1659,5.15,5.17,3.19
110,Very Good,I,VS2,62.7,59.0,9802,7.28,7.33,4.58
111,Ideal,G,IF,61.1,57.0,1019,4.44,4.4,2.7
112,Very Good,F,VS2,59.9,63.0,2724,5.88,5.74,3.48
113,Very Good,E,VS2,61.7,54.0,701,4.39,4.43,2.72
114,Very Good,E,SI1,63.1,58.0,5226,6.39,6.31,4.01
115,Premium,F,SI2,62.1,56.0,1068,5.16,5.12,3.19
116,Ideal,I,VVS1,61.7,55.0,589,4.4,4.41,2.72
117,Premium,G,SI2,62.8,59.0,4170,6.37,6.28,3.97
118,Good,G,SI1,57.6,58.0,5394,6.34,6.41,3.67
119,Premium,G,VS1,62.7,56.0,6441,6.46,6.36,4.02
120,Very Good,E,VVS1,62.7,56.0,3724,5.61,5.68,3.54
121,Premium,G,SI1,60.0,62.0,4189,6.49,6.44,3.88
122,Good,H,SI2,64.7,58.0,3627,5.98,5.95,3.86
123,Premium,E,VS1,59.7,59.0,7817,6.59,6.55,3.92
124,Premium,G,SI2,,59.0,16506,8.3,,4.96
125,Good,D,VVS2,60.3,63.0,1136,4.73,4.79,2.87
126,Good,G,SI1,62.8,59.0,3734,6.07,6.13,3.83
127,Ideal,H,VVS1,62.1,55.0,8693,6.84,6.91,4.27
128,Good,I,SI2,63.6,56.0,3786,6.36,6.4,4.06
129,Very Good,E,VVS2,59.3,59.0,1292,4.95,4.96,2.94
130,Ideal,I,VS1,62.1,54.0,587,4.58,4.6,2.85
131,Ideal,F,VS1,61.4,57.0,11132,7.25,7.09,4.4
132,Ideal,D,VS2,62.6,55.0,3735,5.71,5.76,3.59
133,Premium,H,VS1,59.7,59.0,5883,6.66,6.57,3.95
134,Premium,E,VS1,61.1,59.0,1052,4.73,4.76,2.9
135,,G,SI2,62.8,56.0,4686,6.47,6.61,4.11
136,Premium,G,SI1,,58.0,2215,5.88,,3.42
137,Good,E,SI1,60.6,61.0,724,4.95,4.99,3.01
138,Very Good,E,SI1,60.8,57.0,1438,5.2,5.22,3.17
139,Ideal,D,SI2,62.5,55.0,3990,6.2,6.25,3.89
140,Premium,G,SI1,62.3,58.0,10220,7.35,7.32,4.57
141,Premium,F,VS2,61.9,59.0,6097,6.46,6.39,3.98
142,Premium,D,VS2,59.4,61.0,1828,5.24,5.24,3.11
143,Premium,F,SI1,61.0,59.0,2023,5.73,5.68,3.48
144,Very Good,D,VS1,62.7,58.0,2951,5.65,5.68,3.55
145,Ideal,F,IF,61.8,55.0,885,4.32,4.35,2.68
146,Ideal,H,I1,62.2,55.0,3678,6.66,6.69,4.15
147,Ideal,G,IF,62.0,53.0,1289,4.81,4.87,3.0
148,Very Good,I,VS1,62.3,59.0,12560,7.62,7.64,4.75
149,,G,IF,58.5,60.0,3543,5.84,5.86,3.42
150,Ideal,F,SI2,62.0,56.0,5305,6.62,6.57,4.09
151,,H,SI1,59.9,63.0,4470,6.38,6.34,3.81
152,Premium,F,VS2,60.6,58.0,1108,4.82,4.79,2.91
153,Very Good,D,SI1,61.4,60.0,15544,7.77,7.79,4.78
154,Ideal,F,VVS1,61.0,55.0,1028,4.61,4.6,2.81
155,,F,VVS2,63.9,58.0,10173,6.66,6.67,4.26
156,Very Good,I,I1,59.3,61.0,8256,8.25,8.3,4.91
157,Ideal,F,SI2,61.4,56.0,763,4.76,4.79,2.93
158,Premium,E,SI1,60.3,58.0,530,4.24,4.22,2.55
159,Ideal,E,VVS1,,53.2,1245,4.61,,2.9
160,,I,VS1,63.1,56.0,4128,6.42,6.36,4.03
161,Ideal,D,SI2,60.7,56.0,1320,5.23,5.25,3.18
162,Very Good,F,VS2,60.5,55.0,1610,5.24,5.3,3.19
163,Very Good,D,VS2,62.4,57.0,2906,5.73,5.8,3.6
164,Fair,I,SI1,60.6,66.0,3337,6.42,6.35,3.87
165,Very Good,G,VS2,60.9,56.0,579,4.46,4.5,2.73
166,Ideal,D,VS2,62.6,56.0,781,4.39,4.43,2.76
167,,H,SI2,60.3,59.0,5276,6.99,6.94,4.2
168,Premium,E,SI2,61.1,60.0,435,4.33,4.38,2.66
169,Premium,D,SI1,61.0,58.0,1753,5.21,5.18,3.17
170,Ideal,E,SI1,59.5,57.0,1547,5.25,5.2,3.11
171,Very Good,D,SI2,61.7,60.0,4478,6.45,6.45,3.98
172,Ideal,D,VVS2,61.7,54.0,945,4.53,4.58,2.81
173,Premium,E,SI2,62.6,57.0,3898,6.67,6.63,4.16
174,Ideal,D,SI2,61.9,55.0,1314,5.2,5.23,3.23
175,Ideal,G,VVS2,60.7,56.0,2058,5.32,5.33,3.23
176,Ideal,G,VS2,61.4,57.0,6140,6.88,6.79,4.2
177,,I,SI2,64.7,58.0,6717,7.05,7.16,4.6
178,Ideal,G,VS1,61.5,54.0,4164,6.08,6.14,3.76
179,Very Good,D,VVS2,60.8,56.0,1134,4.78,4.82,2.92
180,Premium,F,VS2,61.1,60.0,14960,7.55,7.57,4.62
181,Good,J,VS2,61.4,63.0,13542,8.02,8.06,4.94
182,Ideal,F,I1,62.3,54.0,3438,6.43,6.42,4.0
183,Very Good,E,VVS1,61.5,57.0,1103,4.44,4.5,2.75
184,Ideal,F,VVS1,61.8,54.0,857,4.33,4.37,2.69
185,Premium,F,SI2,61.9,62.0,3211,6.11,6.07,3.77
186,Ideal,J,SI2,62.1,56.0,3466,6.35,6.4,3.96
187,Very Good,D,SI2,60.9,60.0,18407,8.21,8.27,5.02
188,Ideal,G,SI2,,56.0,2023,5.71,,3.56
189,Very Good,H,SI1,60.2,62.0,5047,6.53,6.56,3.94
190,Very Good,D,SI2,61.0,58.0,5320,6.63,6.69,4.06
191,Very Good,G,VVS2,63.1,60.0,685,4.23,4.27,2.68
192,Ideal,G,IF,62.8,57.0,8778,6.43,6.38,4.02
193,Very Good,D,VVS2,62.9,56.0,512,3.99,4.02,2.52
194,Ideal,G,VS1,61.7,56.0,1956,5.22,5.28,3.24
195,Premium,F,SI1,59.8,59.0,4232,6.27,6.3,3.76
196,,D,SI1,61.4,58.0,2913,5.74,5.8,3.54
197,Fair,G,I1,65.4,59.0,8710,8.53,8.37,5.53
198,Very Good,G,SI2,61.2,58.0,11971,7.84,7.94,4.83
199,Very Good,H,VVS2,59.7,60.0,9735,7.19,7.21,4.3
200,,F,VS1,61.9,55.0,2751,5.76,5.71,3.55
201,,J,VS2,60.0,61.0,504,4.49,4.45,2.68
202,Very Good,G,VS2,63.6,57.0,12873,7.22,7.19,4.58
203,Good,F,VVS1,60.7,62.0,1080,4.71,4.72,2.86
204,Ideal,G,VVS2,61.1,57.0,684,4.32,4.35,2.65
205,Ideal,E,SI1,61.2,55.0,6131,6.47,6.5,3.97
206,Very Good,G,IF,59.9,56.0,9053,6.74,6.81,4.06
207,Ideal,F,SI2,62.1,56.0,5020,7.21,7.15,4.46
208,Very Good,F,SI2,60.5,58.0,478,4.54,4.59,2.76
209,Ideal,I,SI1,62.0,55.0,4958,6.57,6.6,4.08
210,Premium,H,VS1,59.3,60.0,1577,5.27,5.22,3.11
211,Premium,G,IF,61.5,60.0,956,4.33,4.29,2.65
212,Ideal,H,VVS1,61.2,56.0,1842,5.25,5.28,3.22
213,Very Good,H,SI2,62.5,58.0,6483,7.05,6.97,4.38
214,Ideal,E,VVS2,61.6,56.0,600,4.08,4.1,2.52
215,Premium,G,VS1,61.1,60.0,1637,5.23,5.27,3.21
216,Ideal,G,VVS2,62.6,57.0,879,4.34,4.26,2.69
217,Ideal,I,VS2,61.8,56.0,11963,7.56,7.59,4.68
218,Ideal,I,VS1,,54.0,944,5.03,,3.14
219,Very Good,E,SI2,59.5,59.0,4840,6.72,6.77,4.01
220,Ideal,E,SI1,61.0,55.0,4792,6.27,6.25,3.82
221,Premium,D,VS1,61.5,58.0,8823,6.44,6.44,3.96
222,Ideal,J,SI1,61.7,54.0,4708,6.71,6.75,4.15
223,Ideal,H,VVS1,62.1,55.0,752,4.41,4.45,2.75
224,Good,J,VS1,63.3,57.0,8736,7.2,7.24,4.57
225,Very Good,D,SI1,60.1,58.0,4130,6.28,6.3,3.78
226,Very Good,I,VVS1,63.3,57.0,1635,5.27,5.32,3.35
227,Very Good,F,VS1,61.2,60.0,570,4.29,4.21,2.6
228,Premium,F,SI1,59.1,57.0,1736,5.65,5.59,3.32
229,Premium,J,VS1,61.9,58.0,421,4.33,4.4,2.7
230,,D,SI2,62.5,56.0,477,4.39,4.41,2.75
231,Good,G,SI1,63.4,58.0,656,4.66,4.71,2.97
232,Premium,G,VVS2,62.6,59.0,7601,6.41,6.47,4.03
233,Very Good,F,VVS2,62.5,59.0,810,4.39,4.47,2.77
234,Very Good,I,SI1,63.2,59.0,4639,6.53,6.5,4.12
235,Premium,F,SI2,62.1,59.0,4416,6.42,6.47,4.0
236,Premium,G,SI1,60.1,60.0,5581,6.55,6.52,3.93
237,Good,F,VS1,57.5,63.0,17330,7.87,7.82,4.51
238,Good,J,SI1,60.2,64.0,1548,5.74,5.82,3.48
239,Premium,J,VS1,62.0,59.0,4704,6.78,6.7,4.18
240,Premium,E,SI1,60.0,60.0,4863,6.45,6.38,3.85
241,Premium,G,VS1,59.6,60.0,17191,7.91,7.77,4.67
242,Premium,G,SI2,,58.0,4327,6.42,,3.96
243,Ideal,I,SI1,61.7,57.0,2441,5.93,5.99,3.68
